ID,Fwy,Lat,Lng
1120388,I5-S,32.965743,-117.247862
1108468,I5-S,32.9806,-117.253496
1100381,I5-S,32.983511,-117.254568
1108469,I5-S,32.9806,-117.253496
1120314,I5-S,32.9806,-117.253496
1108471,I5-S,32.993896,-117.256417
1108472,I5-S,32.993896,-117.256417
1120740,I5-S,32.995208,-117.256294
1119532,I5-S,32.995955,-117.25672
1113951,I8-E,32.759557,-117.173668
1113486,I8-E,32.760689,-117.168683
1116570,I8-E,32.759557,-117.173668
1111514,I8-E,32.755748,-117.232784
1115413,I8-E,32.763372,-117.161338
1108728,I8-E,32.756831,-117.223377
1108729,I8-E,32.756831,-117.223377
1115432,I8-E,32.765198,-117.154206
1115438,I8-E,32.767586,-117.14542
1114540,I8-E,32.760498,-117.169513
1115426,I8-E,32.764511,-117.156918
1111566,I8-E,32.765546,-117.152802
1116300,I8-E,32.765546,-117.152802
1115444,I8-E,32.767861,-117.144769
1116783,I8-E,32.770352,-117.137439
1108371,I8-E,32.770352,-117.137439
1108369,I8-E,32.770356,-117.137423
1113418,I8-E,32.770352,-117.137439
1100416,I8-E,32.768283000000004,-117.143779
1116706,I8-E,32.771056,-117.134434
1122625,I8-E,32.771056,-117.134434
1111565,I8-E,32.771056,-117.134434
1111549,I8-E,32.778521999999995,-117.112308
1115450,I8-E,32.778557,-117.109532
1115454,I8-E,32.779090999999994,-117.100686
1108367,I8-E,32.778954,-117.101668
1108366,I8-E,32.778954,-117.101668
1127052,I8-E,32.780008,-117.094988
1114573,I8-E,32.779857,-117.080031
1113435,I8-E,32.780608,-117.086932
1116293,I8-E,32.780608,-117.086932
1111564,I8-E,32.780608,-117.086932
1118752,I8-E,32.778134,-117.0595
1126977,I8-E,32.772582,-117.016817
1126979,I8-E,32.772582,-117.016817
1126974,I8-E,32.772582,-117.016817
1111534,I8-E,32.774341,-117.012345
1127026,I8-E,32.774956,-117.010577
1126965,I8-E,32.778355,-117.001957
1111535,I8-E,32.77337,-117.030306
1126968,I8-E,32.778355,-117.001957
1115463,I8-E,32.778934,-116.989776
1113430,I8-E,32.782739,-116.980888
1111532,I8-E,32.782739,-116.980888
1111531,I8-E,32.795451,-116.976955
1111530,I8-E,32.801931,-116.972947
1111561,I8-E,32.802947,-116.949553
1111563,I8-E,32.802953,-116.938854
1116690,I8-E,32.80316,-116.938857
1116575,I8-W,32.759691,-117.201429
1116574,I8-W,32.759826000000004,-117.200173
1111515,I8-W,32.760559,-117.192749
1115555,I8-W,32.761829,-117.16531
1115565,I8-W,32.762058,-117.164683
1114546,I8-W,32.760666,-117.169559
1122763,I8-W,32.773995,-117.126658
1115548,I8-W,32.766593,-117.149413
1111540,I8-W,32.765737,-117.152854
1115572,I8-W,32.768812,-117.143278
1111541,I8-W,32.77057,-117.137503
1116165,I8-W,32.763296999999994,-117.162027
1115632,I8-W,32.763296999999994,-117.162027
1115578,I8-W,32.771677000000004,-117.132551
1111550,I8-W,32.778719,-117.11231399999998
1122623,I8-W,32.780963,-117.084181
1115584,I8-W,32.778745,-117.10939
1115592,I8-W,32.779052,-117.102755
1115600,I8-W,32.780256,-117.094969
1118760,I8-W,32.778313,-117.059444
1108334,I8-W,32.780922,-117.089026
1100434,I8-W,32.781065000000005,-117.085518
1108333,I8-W,32.780922,-117.089026
1108343,I8-W,32.771303,-117.024786
1108344,I8-W,32.771303,-117.024786
1108345,I8-W,32.774053,-117.01376
1100451,I8-W,32.774809999999995,-117.011694
1108346,I8-W,32.774053,-117.01376
1118767,I8-W,32.773373,-117.037209
1108424,I8-W,32.776707,-117.006354
1100454,I8-W,32.778290000000005,-117.002564
1108330,I8-W,32.776802,-117.00608
1108423,I8-W,32.776707,-117.006354
1108350,I8-W,32.77717,-117.005054
1108342,I8-W,32.773822,-117.031274
1108341,I8-W,32.773822,-117.031274
1108348,I8-W,32.778392,-117.002356
1100461,I8-W,32.779359,-116.994505
1108347,I8-W,32.778392,-117.002356
1115608,I8-W,32.779187,-116.989791
1108352,I8-W,32.779641,-116.983866
1108351,I8-W,32.779641,-116.983866
1108354,I8-W,32.793364000000004,-116.977528
1108353,I8-W,32.793364000000004,-116.977528
1108385,I8-W,32.802207,-116.972975
1108386,I8-W,32.802207,-116.972975
1108388,I8-W,32.803146000000005,-116.961287
1108387,I8-W,32.803146000000005,-116.961287
1116313,I8-W,32.803146000000005,-116.961287
1108714,I8-W,32.803153,-116.96313
1100475,I8-W,32.803157,-116.957358
1108355,I8-W,32.803145,-116.960997
1100478,I8-W,32.803168,-116.948613
1108357,I8-W,32.803134,-116.953615
1108356,I8-W,32.803134,-116.953615
1108359,I8-W,32.80316,-116.938857
1108358,I8-W,32.80316,-116.938857
1119689,I15-N,32.701162,-117.12063899999998
1119694,I15-N,32.705882,-117.120433
1122948,I15-N,32.715149,-117.117717
1122942,I15-N,32.716822,-117.117751
